Fecha,I0,I,N
2020-10-07,298541,2871,
2020-10-08,301267,2726,
2020-10-09,304127,2860,
2020-10-10,306993,2866,
2020-10-11,309773,2780,
2020-10-12,311622,1849,
2020-10-13,314658,3036,
2020-10-14,317982,3324,
2020-10-15,321465,3483,
2020-10-16,324893,3428,
2020-10-17,328152,3259,
2020-10-18,331451,3299,
2020-10-19,333605,2154,
2020-10-20,337184,3579,
2020-10-21,340870,3686,
2020-10-22,344752,3882,
2020-10-23,348838,4086,
2020-10-24,352954,4116,
2020-10-25,357090,4136,
2020-10-26,359922,2832,
2020-10-27,364775,4853,
2020-10-28,370448,5673,
2020-10-29,376187,5739,
2020-10-30,382078,5891,
2020-10-31,387140,5062,
2020-11-01,392804,5664,
2020-11-02,396805,4001,
2020-11-03,403530,6725,
2020-11-04,410372,6842,
2020-11-05,417087,6715,
2020-11-06,424265,7178,
2020-11-07,431218,6953,
2020-11-08,438963,7745,
2020-11-09,443986,5023,
2020-11-10,451816,7830,
2020-11-11,460409,8593,
2020-11-12,467462,7053,
2020-11-13,475264,7802,
2020-11-14,482604,7340,
2020-11-15,485839,3235,
2020-11-16,489636,3797,
2020-11-17,496032,6396,
2020-11-18,503518,7486,
2020-11-19,511064,7546,
2020-11-20,517672,6608,
2020-11-21,523551,5879,
2020-11-22,530297,6746,
2020-11-23,534751,4454,
2020-11-24,540975,6224,
2020-11-25,546221,5246,
2020-11-26,551696,5475,
2020-11-27,557178,5482,
2020-11-28,562176,4998,
2020-11-29,567082,4906,
2020-11-30,570808,3726,
2020-12-01,574814,4006,
2020-12-02,578758,3944,
2020-12-03,582492,3734,
2020-12-04,586559,4067,
2020-12-05,589978,3419,
2020-12-06,592684,2706,
2020-12-07,594358,1674,
2020-12-08,597546,3188,
2020-12-09,600009,2463,
2020-12-10,601584,1575,
2020-12-11,603969,2385,
2020-12-12,605904,1935,
2020-12-13,607888,1984,
2020-12-14,609264,1376,
2020-12-15,610881,1617,
2020-12-16,612428,1547,
2020-12-17,613791,1363,
2020-12-18,615209,1418,
2020-12-19,616348,1139,
2020-12-20,617439,1091,
2020-12-21,618242,803,
2020-12-22,619181,939,
2020-12-23,620052,871,
2020-12-24,621115,1063,
2020-12-25,621873,758,
2020-12-26,622528,655,
2020-12-27,623285,757,
2020-12-28,623849,564,
2020-12-29,624552,703,
2020-12-30,625229,677,
2020-12-31,625803,574,
2021-01-01,626388,585,
2021-01-02,626882,494,
2021-01-03,627306,424,
2021-01-04,627690,384,
2021-01-05,628132,442,
2021-01-06,628786,654,
2021-01-07,629272,486,
2021-01-08,629716,444,
2021-01-09,630235,519,
2021-01-10,630634,399,
2021-01-11,630940,306,
2021-01-12,631326,386,
2021-01-13,631683,357,
2021-01-14,632023,340,
2021-01-15,632318,295,
2021-01-16,632617,299,
2021-01-17,632863,246,
2021-01-18,633024,161,
2021-01-19,633255,231,
2021-01-20,633483,228,
2021-01-21,633710,227,
2021-01-22,633976,266,
2021-01-23,634173,197,
2021-01-24,634358,185,
2021-01-25,634506,148,
2021-01-26,634663,157,
